Airfoil1
START	0.000000
1.97330752	3.03236796	-0.30829949
1.86094837	3.03089483	-0.32246013
1.74955048	3.02921786	-0.33785080
1.52706935	3.02504781	-0.37334937
1.30263262	3.01930908	-0.41722500
1.06951068	3.01107608	-0.47299562
0.83376180	2.99955242	-0.54128482
0.60595617	2.98492925	-0.61684791
0.38233298	2.96661679	-0.69963477
0.16271378	2.94398836	-0.78945332
-0.05297982	2.91645359	-0.88577787
-0.26462956	2.88338091	-0.98813891
-0.47209478	2.84408340	-1.09612664
-0.67478869	2.79763362	-1.20977276
-0.87212240	2.74407688	-1.32678033
-1.06705110	2.68172165	-1.44867974
-1.25591427	2.61066835	-1.57312261
-1.43896030	2.52948666	-1.70058850
-1.61426539	2.43618336	-1.83175179
-1.78008000	2.32883835	-1.96642212
-1.85762049	2.26832856	-2.03592473
-1.92953773	2.20162861	-2.10787463
-1.99097093	2.12524664	-2.18486400
-2.01246295	2.07993497	-2.22804276
-2.01619208	2.05861171	-2.24775929
-2.01561256	2.04651184	-2.25878138
-1.98323423	2.00935750	-2.29189582
-1.91391975	1.99244668	-2.30661228
-1.89461735	1.99006990	-2.30866321
-1.86069433	1.98783559	-2.31058730
-1.78740447	1.98896937	-2.30961141
-1.65777742	2.00188525	-2.29842543
-1.53746687	2.02095029	-2.28168007
-1.42200553	2.04328915	-2.26169703
-1.20012002	2.09398454	-2.21484373
-0.98602853	2.14948076	-2.16102672
-0.77831049	2.20872754	-2.10043487
-0.57523562	2.27011545	-2.03393211
-0.37717486	2.33242035	-1.96217209
-0.18052574	2.39647653	-1.88340231
0.01171138	2.46038094	-1.79911912
0.20012541	2.52479570	-1.70754522
0.38530958	2.58879950	-1.60885710
0.56745615	2.65172341	-1.50288621
0.74675435	2.71289850	-1.38941921
0.92327413	2.77159053	-1.26830199
1.09708862	2.82683703	-1.13986683
1.26504334	2.87747272	-1.00521379
1.43890181	2.92371813	-0.86149655
1.62297423	2.96499207	-0.70648853
1.80922158	2.99950749	-0.54153375
1.90188798	3.01376938	-0.45551962
1.99316095	3.02580737	-0.36714267
END	0.000000
Airfoil2
START	0.000000
2.57520452	4.55642893	-0.28503204
2.45882761	4.55190350	-0.32977042
2.34331416	4.54692297	-0.37520843
2.11158310	4.53529778	-0.46995661
1.87594575	4.52081810	-0.57282302
1.62683947	4.50193030	-0.68992192
1.37359467	4.47732939	-0.82382917
1.13202446	4.44760962	-0.96483812
0.89636337	4.41186169	-1.11286502
0.66621986	4.36939549	-1.26724436
0.44144849	4.31959960	-1.42710140
0.22221097	4.26189424	-1.59162634
0.00869275	4.19569886	-1.76010984
-0.19835243	4.12033370	-1.93215331
-0.39799647	4.03633919	-2.10472216
-0.59412985	3.94109885	-2.28138341
-0.78184678	3.83626114	-2.45732711
-0.96143966	3.72052937	-2.63348142
-1.13040663	3.59288890	-2.80992566
-1.28632042	3.45254109	-2.98613258
-1.35704142	3.37689440	-3.07453804
-1.42034128	3.29694883	-3.16359757
-1.47025973	3.21148106	-3.25445386
-1.48393858	3.16566826	-3.30164445
-1.48373384	3.14637044	-3.32134447
-1.48087494	3.13641035	-3.33152324
-1.44350869	3.11717538	-3.35219145
-1.37261616	3.12835014	-3.34367802
-1.35236328	3.13304061	-3.33973073
-1.31685951	3.14253809	-3.33149577
-1.24067777	3.16687850	-3.30960621
-1.10716981	3.21651333	-3.26307946
-0.98415257	3.26645961	-3.21431520
-0.86663997	3.31632240	-3.16383078
-0.64188629	3.41518893	-3.05834214
-0.42598549	3.51220129	-2.94746689
-0.21732480	3.60732254	-2.83085682
-0.01388149	3.69995339	-2.70890936
0.18374859	3.78894583	-2.58288552
0.38032750	3.87663524	-2.44878949
0.57185297	3.96013242	-2.31042058
0.75925309	4.04041220	-2.16548745
0.94329758	4.11692565	-2.01414004
1.12429964	4.18921407	-1.85632503
1.30259669	4.25682508	-1.69192128
1.47841058	4.31922692	-1.52093880
1.65197265	4.37574042	-1.34387265
1.81901867	4.42526809	-1.16281393
1.99831633	4.46907331	-0.97214221
2.19486798	4.50652757	-0.76967853
2.39586892	4.53564568	-0.55797303
2.49597883	4.54666674	-0.44875231
2.59415525	4.55509482	-0.33726151
END	0.000000
Airfoil3
START	0.000000
3.05488702	6.05866816	-0.20985565
2.93753743	6.05476327	-0.28723822
2.82085657	6.04988782	-0.36498858
2.58690705	6.03698314	-0.52364728
2.35008455	6.01928951	-0.68962873
2.10254686	5.99520646	-0.86979480
1.85354659	5.96345580	-1.06624884
1.61655882	5.92468003	-1.26784732
1.38613625	5.87797403	-1.47483163
1.16181568	5.82276149	-1.68642884
0.94338058	5.75856427	-1.90170961
0.73092711	5.68497065	-2.11979715
0.52459017	5.60159525	-2.33992556
0.32506046	5.50803231	-2.56154855
0.13291116	5.40497666	-2.78171324
-0.05481773	5.28997351	-3.00434380
-0.23420973	5.16504174	-3.22424558
-0.40529140	5.02922464	-3.44240772
-0.56567879	4.88211931	-3.65866142
-0.71306433	4.72354649	-3.87240639
-0.77966408	4.63971411	-3.97848761
-0.83911250	4.55267443	-4.08420831
-0.88593921	4.46219776	-4.18998157
-0.89897695	4.41564453	-4.24317224
-0.89910156	4.39690276	-4.26453287
-0.89673205	4.38761285	-4.27518665
-0.86526194	4.37336828	-4.29301567
-0.80322450	4.39461156	-4.27263055
-0.78475532	4.40257336	-4.26466066
-0.75201955	4.41787004	-4.24910175
-0.68081988	4.45465821	-4.21075726
-0.55437909	4.52561974	-4.13411324
-0.43682090	4.59449161	-4.05669856
-0.32393506	4.66173617	-3.97824136
-0.10691635	4.79188532	-3.81786834
0.10253359	4.91648533	-3.65279649
0.30566877	5.03583503	-3.48253766
0.50425339	5.14975616	-3.30726060
0.69786839	5.25732608	-3.12836878
0.89024432	5.36088659	-2.94140944
1.07827659	5.45776313	-2.75075486
1.26253836	5.54882032	-2.55421921
1.44374100	5.63369619	-2.35194278
1.62218468	5.71205137	-2.14395621
1.79819279	5.78355063	-1.93022092
1.97202393	5.84778982	-1.71084795
2.14402057	5.90427020	-1.48638497
2.31067729	5.95207702	-1.25939087
2.48929089	5.99262777	-1.02284803
2.68351565	6.02526544	-0.77437269
2.88131577	6.04805672	-0.51750778
2.97954912	6.05538177	-0.38614903
3.07572965	6.05977731	-0.25294097
END	0.000000
Airfoil4
START	0.000000
3.46523782	7.53598159	-0.11516782
3.35203570	7.53496690	-0.22055519
3.23927324	7.53250337	-0.32608337
3.01329746	7.52310394	-0.53963309
2.78557008	7.50732722	-0.75946961
2.55049182	7.48387065	-0.99230677
2.31659452	7.45171853	-1.23954715
2.09398386	7.41133405	-1.49019369
1.87793279	7.36195922	-1.74470141
1.66793967	7.30316867	-2.00232368
1.46373509	7.23463013	-2.26219792
1.26534371	7.15608491	-2.52350525
1.07284010	7.06730960	-2.78553352
0.88679836	6.96810055	-3.04772689
0.70747510	6.85909376	-3.30749207
0.53285330	6.73836935	-3.56850450
0.36577346	6.60773725	-3.82595140
0.20640855	6.46656992	-4.08075118
0.05685218	6.31480067	-4.33264418
-0.08085956	6.15253819	-4.58106654
-0.14332514	6.06745850	-4.70399945
-0.19942429	5.97979043	-4.82609593
-0.24445327	5.88973969	-4.94738053
-0.25803078	5.84418972	-5.00758673
-0.25915854	5.82618406	-5.03138440
-0.25768979	5.81739948	-5.04308506
-0.23310835	5.80491203	-5.06140775
-0.18124589	5.82936991	-5.03333539
-0.16522095	5.83866176	-5.02230059
-0.13649455	5.85641612	-5.00094004
-0.07309530	5.89870967	-4.94897117
0.04120733	5.97941816	-4.84646150
0.14863563	6.05705615	-4.74395740
0.25247929	6.13234935	-4.64080851
0.45348275	6.27680671	-4.43177753
0.64873831	6.41365813	-4.21865023
0.83909980	6.54326877	-4.00092383
1.02596539	6.66564301	-3.77864527
1.20906761	6.78009982	-3.55314928
1.39103830	6.88852591	-3.32026337
1.56969820	6.98880815	-3.08418481
1.74530391	7.08158350	-2.84304328
1.91845270	7.16660636	-2.59698266
2.08940461	7.24362281	-2.34609861
2.25843928	7.31238079	-2.09042629
2.42582048	7.37257735	-1.83014962
2.59195065	7.42385738	-1.56583098
2.75428180	7.46554464	-1.30014575
2.92720817	7.49883137	-1.02591595
3.11297944	7.52307472	-0.74060954
3.30129048	7.53662598	-0.44807289
3.39459349	7.53906666	-0.29938353
3.48590369	7.53843369	-0.14926111
END	0.000000
Airfoil5
START	0.000000
3.82560686	8.98797266	-0.02464239
3.72071876	8.99130960	-0.15040867
3.61604243	8.99290337	-0.27616852
3.40631104	8.99086474	-0.52958519
3.19573631	8.98166335	-0.78817684
2.98081332	8.96445516	-1.05796669
2.76908145	8.93860133	-1.33980267
2.56741099	8.90427011	-1.62384467
2.37188143	8.86088419	-1.91061939
2.18198041	8.80815187	-2.19947845
1.99741008	8.74585843	-2.48969174
1.81813861	8.67385617	-2.78056801
1.64418962	8.59203210	-3.07150983
1.47601400	8.50030991	-3.36203288
1.31366069	8.39916365	-3.65001886
1.15584389	8.28729913	-3.93861243
1.00453187	8.16606566	-4.22374967
0.86001202	8.03510800	-4.50622533
0.72404634	7.89451815	-4.78578881
0.59837635	7.74450352	-5.06198113
0.54105118	7.66604888	-5.19878925
0.48916715	7.58542342	-5.33469401
0.44663605	7.50297711	-5.46955409
0.43280955	7.46153896	-5.53629012
0.43080329	7.44525889	-5.56256521
0.43144993	7.43735163	-5.57544569
0.44983547	7.42604218	-5.59580944
0.49183807	7.44932737	-5.56307254
0.50524899	7.45842923	-5.54983508
0.52954557	7.47586159	-5.52417086
0.58392001	7.51741817	-5.46176048
0.68340429	7.59662828	-5.33896588
0.77791517	7.67263527	-5.21660735
0.86988847	7.74613472	-5.09389870
1.04917902	7.88648508	-4.84645726
1.22453749	8.01854962	-4.59570745
1.39647141	8.14263096	-4.34117511
1.56601687	8.25879060	-4.08283650
1.73300154	8.36656647	-3.82183430
1.89917592	8.46725361	-3.55461865
2.06308484	8.55937935	-3.28481622
2.22477724	8.64333272	-3.01092928
2.38472822	8.71894391	-2.73309696
2.54315494	8.78602344	-2.45144715
2.70029174	8.84438206	-2.16606072
2.85639730	8.89379973	-1.87715618
3.01190290	8.93403900	-1.58527109
3.16516247	8.96466734	-1.29292764
3.32752263	8.98653694	-0.99366529
3.49996556	8.99903433	-0.68492643
3.67407450	9.00086872	-0.37028064
3.76019321	8.99751631	-0.21103179
3.84447901	8.99116427	-0.05069941
END	0.000000
Airfoil6
START	0.000000
4.16171605	10.40937221	0.05298344
4.06874574	10.41792199	-0.08310939
3.97577992	10.42468722	-0.21910341
3.78948746	10.43300428	-0.49245656
3.60302015	10.43443780	-0.76987927
3.41465037	10.42867684	-1.05639630
3.23075786	10.41560385	-1.35252995
3.05541299	10.39503238	-1.65020761
2.88550544	10.36650346	-1.94990958
2.72053943	10.32981395	-2.25112340
2.56021322	10.28482231	-2.55328545
2.40445739	10.23144751	-2.85586954
2.25325790	10.16964065	-3.15842586
2.10694941	10.09940152	-3.46058987
1.96546967	10.02099651	-3.76076143
1.82805503	9.93373193	-4.06142579
1.69601725	9.83842992	-4.35944665
1.56968733	9.73496229	-4.65548089
1.45048960	9.62350698	-4.94935972
1.33987236	9.50430415	-5.24078328
1.28912713	9.44194209	-5.38556450
1.24285765	9.37790881	-5.52968887
1.20420818	9.31261253	-5.67301271
1.19086403	9.27996926	-5.74407767
1.18831687	9.26722164	-5.77211803
1.18833957	9.26106085	-5.78590194
1.20148203	9.25228659	-5.80863949
1.23419566	9.27136475	-5.77408381
1.24494813	9.27898006	-5.75962656
1.26462539	9.29359693	-5.73147215
1.30925654	9.32847811	-5.66277838
1.39210318	9.39492690	-5.52750745
1.47165628	9.45854890	-5.39290077
1.54960202	9.51989108	-5.25819989
1.70265324	9.63641353	-4.98756266
